1693313254# #0# #8# #0.604403597348934
1701418245# #0# #81# #0.3599452737903402
1698152616# #0# #7# #0.03456192120716688
1697337271# #0# #34# #0.07187143669688897
1702273163# #0# #17# #0.031444905798266774
1698557882# #0# #261# #0.06246953211742032
1697438385# #0# #14# #0.008203211011849593
1700655460# #0# #6# #0.08766392282388973
1702894438# #0# #5# #0.1623428246793509
1694269352# #0# #94# #0.08024678604720649
1695356392# #0# #23# #0.19205753657052227
1702485175# #0# #33# #0.04690296206501539
1692359492# #0# #14# #0.03140368692484877
1700125795# #0# #5# #0.10235690652127379
1693313957# #0# #35# #0.13978636128585978
1688833497# #0# #59# #0.0087277360929706
1693371241# #0# #172# #0.5213120615020005
1697633914# #0# #17# #0.14278215357821383
1688308030# #0# #78# #0.4347522573793587
1698385906# #0# #24# #0.1648038376309908
1692937971# #0# #14# #0.2735846768607787
1694343862# #0# #8# #0.13392120737395727
1692501742# #0# #36# #0.013616138138373729
1695549380# #0# #15# #0.4926529055628747
1697009129# #0# #20# #0.01858481310886401
1695109386# #0# #32# #0.004104011748386617
1699931831# #0# #82# #0.2124113317868574
1700634765# #0# #7# #0.006914375763241837
1703213606# #0# #31# #0.006793755923154894
1694090158# #0# #30# #0.07608778376768884
1690377631# #0# #68# #0.648627034378874
1698937589# #0# #13# #0.01563023058852494
1702712377# #0# #62# #0.16300695486207686
1693476456# #0# #20# #0.15286943328860253
1694701289# #0# #15# #0.013804902219174464
1699260716# #0# #4# #0.1704971052496366
1692768619# #0# #13# #0.0081582707623789
1694333476# #0# #229# #0.17131492180114916
1693284913# #0# #52# #0.05034596912743577
1688996475# #0# #300# #0.006581427770925972
1693642917# #0# #14# #0.5500592211103014
1693838147# #0# #111# #0.03341696342918238
1694791153# #0# #46# #0.012265740245595378
1689682140# #0# #19# #0.05116624393482135
1689662024# #0# #34# #0.197593157053838
1699893323# #0# #185# #0.16116851770942928
1688364472# #0# #36# #0.14429275588295068
1702173987# #0# #7# #0.8645142810449434
1690562001# #0# #17# #0.5269238050727929
1698668786# #0# #56# #0.02784316027202899
1688401449# #0# #35# #0.01844504898507206
1699275657# #0# #46# #0.07973721126809599
1696904359# #0# #308# #0.26921939130994527
1703922986# #0# #13# #0.014001577567722284
1691080368# #0# #8# #0.3602773332527875
1694004693# #0# #10# #0.9978211138553109
1698595704# #0# #28# #0.585692780326317
1690560182# #0# #8# #0.9968987960852788
1693008267# #0# #12# #0.5830143785367404
1701396212# #0# #5# #0.08985997447812025
1692791112# #0# #24# #0.5409312102100716
1692361107# #0# #20# #0.03556020098011886
1698927616# #0# #77# #0.0061019043200366534
1694612545# #0# #18# #0.06908147549793135
1699164515# #0# #34# #0.03582747723716061
1689997416# #0# #41# #0.006107607363812411
1700391645# #0# #46# #0.7688002811139407
1696488381# #0# #224# #0.02579908883010577
1698910238# #0# #9# #0.5791256484469519
1695219331# #0# #141# #0.995066153709739
1701536023# #0# #18# #0.9263249392903286
1690704608# #0# #22# #0.019806867863756804
1697114873# #0# #69# #0.045799976950799945
1692324128# #0# #14# #0.021677735417339087
1692424119# #0# #214# #0.009057367128028446
1691151932# #0# #83# #0.43631094617482064
1696670284# #0# #85# #0.6958307521943186
1698632293# #0# #7# #0.030298529240465024
1699685192# #0# #8# #0.4964618821199784
1702881686# #0# #9# #0.11762908300520965
1689092046# #0# #39# #0.16433654232172076
1702822318# #0# #104# #0.014456548898079676
1700648792# #0# #3# #0.9825266965396614
1700277166# #0# #103# #0.0282973994488416
1694084503# #0# #33# #0.07433445899495554
1695027437# #0# #37# #0.9089288695321632
1693625373# #0# #9# #0.23795368719417806
1693826052# #0# #44# #0.2193589986455509
1693217168# #0# #148# #0.34350552006030377
1690523083# #0# #18# #0.06068139199384707
1691340213# #0# #40# #0.6902608757385506
1693817099# #0# #1# #0.7228301467577992
1688195406# #0# #61# #0.6465229160492737
1690872241# #0# #262# #0.027230567023083976
1693275942# #0# #39# #0.1787925709149899
1691078647# #0# #33# #0.9184656933893339
1703248380# #0# #46# #0.14724605748435515
1690964849# #0# #22# #0.17348201201151342
1702181688# #0# #9# #0.08382549277127364
1700136832# #0# #46# #0.9926264094096607
1697346684# #0# #42# #0.37933585186486934
1688555529# #0# #15# #0.00286417455358197
1690013336# #0# #79# #0.21201577286094653
1688964824# #0# #21# #0.036373962032728836
1703229636# #0# #4# #0.025341073322772995
1699791023# #0# #14# #0.03089861669780003
1702444326# #0# #123# #0.08019096595465273
1696928349# #0# #917# #0.2205836894153228
1703408352# #0# #23# #0.9994127572945352
1690474462# #0# #14# #0.09665711191133008
1703161174# #0# #13# #0.9053686153003974
1701406207# #0# #5# #0.80198490497409
1697086241# #0# #4# #0.007168103246127775
1703403658# #0# #4# #0.05572044011039611
1700998637# #0# #10# #0.8878500785148645
1702706015# #0# #5# #0.9078154734652407
1697343873# #0# #28# #0.16135837966190486
1690961707# #0# #13# #0.2996248537550858
1698413964# #0# #1586# #0.1772659033923435
1688706682# #0# #42# #0.11961681551018806
1697251420# #0# #12# #0.02607741760954932
1698383912# #0# #10# #0.044695974211215725
1703924066# #0# #8# #0.1890321666745791
1699529605# #0# #57# #0.1520606673382028
1699437093# #0# #5# #0.02611369942679606
1690974884# #0# #14# #0.1922668558977288
1701769131# #0# #13# #0.05977032325894635
1700572174# #0# #11# #0.007898031655074241
1701860799# #0# #8# #0.10044085273380747
1699535788# #0# #529# #0.29165683696841865
1703521028# #0# #53# #0.0046634589012804605
1688487258# #0# #104# #0.06396876206336494
1689611897# #0# #14# #0.05917999132358126
1692966859# #0# #34# #0.46854748613005454
1694693293# #0# #9# #0.011024832880952231
1694691380# #0# #6# #0.20640695762874509
