1691135897# #明天看好JDG3:1获胜，虽然LNG从双c实力来讲是最接近jdg的队伍，但jdg野辅的英雄池和比赛经验领先巨大，lng明牌保中的打法也更容易被针对，大伙儿觉得明天比赛会有悬念吗并不简单夏决观赛派对2023lpl夏季赛
1688892195# #瑞尔王+小炮king并不简单2023lpl夏季赛
1698109200# #米勒赛事速递Day5，G2这签运先不谈，KT是真有点霉。LPL加油，争取下一轮都拿下！JDG加油BLG加油LNG加油WBG加油英雄联盟s13s13赛评营地
1688735811# #鬼鬼18杀的jkl！2023lpl夏季赛
1690289645# #碾压了，还得是poke！决胜局咯吃瓜2023lpl夏季赛
1699675133# #怀揣热爱，追逐梦想，这一刻，为热爱闪耀！11月14日，相约2023微博竞燃之夜，让我们一起为梦闪耀！我在这里等你。竞燃之夜阵容官宣
1693670741# #对于我来说解说杯结束了。有人说你一个三十多岁的人了，每年打解说杯这么来劲干嘛。我想说的是在这个年纪跟五个志同道合的朋友，为了一个目标努力，全力以赴去争取赢比赛的感觉真的很好，我很珍惜每年解说杯的这段时光。。谢谢我的队友们，喜欢互嘴的左右脚，伟大的adc马哥，进步神速的v神！还有辛苦的
1690018930# #edg三选阿卡丽真没梗啊，导致第二轮jj拿不到，上路直接养怪物。omg第一盘阵容很适合自己，完全平推局！2023lpl夏季赛
1699102934# #恭喜
1690033240# #行，只坑qg中单吃瓜
1699014600# #哈哈哈哈哈恭喜blg！3:2！！！！牛逼！四强首个内战出现了！英雄联盟s13gen对战blg
1700372284# #好消息，今天首尔很热，场馆室内的！很暖和笑哈哈笑哈哈笑哈哈英雄联盟s13
1698059870# #wbg下一轮打mad还行英雄联盟s13
1699530771# #太努力了，正在记猎枭点位的小猪桃子泪无畏契约
1702311879# #尊重，下半年的竞技状态真的好，非常可惜，等shy重回赛场！
1698558625# #送别dk，三位世界冠军告别世界赛。恭喜kt，千难万险进八强酷英雄联盟s13
1689251579# #有惊无险，edg运住了吃瓜2023lpl夏季赛
1693147236# #我的好日子到头了泪泪泪解说杯
1698368401# #米勒赛事速递Day6，那个河道，那一剑，我感觉到，全部都回来了！当然还有顶级西餐供大家享用！LPL继续加油吧JDG加油BLG加油LNG加油WBG加油。。英雄联盟s13s13赛评营地
1700377540# #前天落地机场，看到杜蕾斯为LPL应援的大屏，今天又在高尺天空巨蛋门口看到霸气行驶着的杜蕾斯车队。。我算看出来了，杜杜这波操作直接把全体LPL粉丝沸腾热血的期盼开到了韩国主场，这排面和开车技术都拉满了！不愧是杜蕾斯！打call。来现场看比赛的大伙可千万别错过了S13决赛&nbsp;LPL的排面由我们保护
1699750800# #米勒赛事速递半决赛Day1，TheShy梦回2018，BLG棋差一招，WBG率先晋级决赛！希望JDG也能有好的表现JDG加油！英雄联盟s13s13赛评营地
1699001244# #起猛了！blg1:0geng！！bin哥打兰宝手好重啊！喜欢笑哈哈笑哈哈笑哈哈英雄联盟s13
1696405536# #mv帅的
1689073682# #。。。
1691401758# #两边打野一人c一盘！大乱斗节奏看着有点激烈doge2023lpl夏季赛
1691929803# #今天JDG主场七夕活动，直接闪现感受一下！人爆多！现场观战JDGWBGLNG大乱斗氛围真好，看的时候都很想上去来两局，现场遇到了369和missing还有很多熟人、粉丝朋友们，大伙都太热情了。不过正事来了兄弟们，京东美妆搞活动，选七夕礼物，惊喜快人一步！有没有出主意的？我应该整点啥礼物回家？
1698226245# #也是被抽中过微博抽奖抽到自己运气有点好嘻嘻
1699781967# #第二盘jdgbp舒服多了，下路也能拿出双射手，kanavi前期有人头有等级领先，优势之后的jdg终结比赛能力让人放心，比分扳平！相信京东！英雄联盟s13
1699963721# #
1688976031# #好！
1691319407# #zika这大鳄鱼发育太好了！edg团战根本处理不了🐊。最后一波团接的也很勉强。lng拿到赛点！2023lpl夏季赛
1697717241# #lng双c值得信赖！英雄联盟s13
1691551889# #解说杯这马庐不是白顾的，我们太子队有救了泪今晚训练赛xdm和大狼拼一拼，必须打出点东西！解说杯米勒三顾马庐
1694753753# #护盾电池s4完美收官打call打call打call
1699011369# #坏，计划有变再有变。被追平了单身狗英雄联盟s13
1697774543# #恭喜
1699093007# #jdg2-1拿到赛点！终结比赛能力太强，一波流直接带走！帅英雄联盟s13
1700374202# #感谢咱们所有LPL的合作伙伴和粉丝！！好兄弟“奔驰”已经把奖杯运送到现场！场馆外到处都是咱们LPL的应援！！WBG战出风采！让S13听到LPL的声音WBG对战T1S13决赛
1697100083# #巴西老哥这石头人已经宕机了开学季s13世界赛
1697876900# #lng中上对线大成功，tarzan节奏也一如既往稳定。将比分扳平！英雄联盟s13
1698489151# #蜻蜓队长！向你致敬🫡英雄联盟s13
1697851801# #米勒赛事速递Day2，都是标准结局。抽签小哥持续发力，LPL又又内战！好消息是已经预定一个八强名额了JDG加油LNG加油。。英雄联盟s13s13赛评营地
1691230780# #夏决粉丝心态现状夏决和兄弟们给大家整个活，小伙伴们品一品这心理状态能对上吗？2023lpl夏季赛
1690108932# #欧一瞎的魅力吃瓜2023lpl夏季赛
1699695779# #blg双射手下路发威，对线压力+视野压力wbg很难招架，ts还在尽力1-1英雄联盟s13
1699978721# #吃点儿吧
1689857498# #恭喜edg！双射手的魅力！今天是foker吃瓜2023lpl夏季赛
1703910601# #兄弟开大奔带我去体验199直升机，也不知道到底靠不靠谱？不过怎么探店探着探着，我自己一个人上飞机了？
1690714267# #这就是jdg的真正实力吗，完全压制！2:0拿到赛点！2023lpl夏季赛
1690028795# #鬼鬼乐！救世主！小奶油c了一整把，最后飞了2023lpl夏季赛
1697874065# #jdg的状态猛的哈人，中野操作拉满了1:0awsl英雄联盟s13
1693488440# #虹桥计划暂缓，我兰博太臭了泪泪泪解说杯
1689254742# #able的走A！一波结束2023lpl夏季赛
1689933029# #鬼鬼nip第一盘的节奏！呼吸人晕了2023lpl夏季赛
1697722731# #坏消息明天1:0组就要开始全面内战了开学季英雄联盟s13
1688730523# #able开了2023lpl夏季赛
1689939296# #ban卡莎是对的！lele才是那块拼图？rng强势扳回一局并不简单2023lpl夏季赛
1691511281# #坏了，没有我的太子队好猛泪泪泪解说杯
1690278462# #开团机器lqs！wbg第一盘状态火热馋嘴2023lpl夏季赛
1690961259# #解说杯s4大家都说吃了，不知道吃的是啥，反正我是吃了，快进到我给太子戴上皇冠！解说杯S3冠军上单Rice符文一键配置，开启猎杀时刻！开启夏日副本米勒解说杯唯一B+
1690627532# #这也能翻？？gala的卡莎goodgoodgood2023lpl夏季赛
1700392452# #恭喜t1，恭喜faker，唯有敬佩英雄联盟s13
1698503100# #米勒赛事速递Day8，北美暴打欧洲，BLG负于T1。蜻蜓队长稳定发挥！向你致敬老师夸夸，明日瑞士轮最终章，LPL冲！BLG加油WBG加油。。英雄联盟s13s13赛评营地
1692448052# #今天跟队友们来ktv团建，一上来先整了五碗牛肉面。难蚌解说杯
1690286383# #鬼鬼！这也能翻，weiwei的野核莉莉娅！2:1拿到赛点2023lpl夏季赛
1699778549# #g上辅能拿的英雄太多，faker状态也好。英雄联盟s13
1693134754# #搞这出？吃瓜
1691487953# #wbg22分钟直接速通了，太猛了！2023lpl夏季赛
1690717673# #jdg太强了！3:0再次碾压，恭喜jdg拿到第一张决赛以及世界赛的门票！blg后天加油吧，先调整心态。。2023lpl夏季赛
1699889533# #恭喜
1702526401# #米勒赛事速递感谢大家一直以来的支持，其实奖杯没有那么重，但拿起来还是沉甸甸的嘻嘻四年创作先画上一个分号；年底转会评级很快就来，大家最想看到哪位嘉宾呢？英雄联盟超话
1699096229# #如此双c！！！恭喜jdg！！lpl3=1了酷酷酷英雄联盟s13
1689816831# #练啥奎桑提，新版本剑魔king回归咯吃瓜
1697802605# #最没悬念的一集。。jdg打blg真的太严厉awsl英雄联盟s13jdg对战blg
1703826072# #。。。？？？
1699699171# #今夕是何年！ts梦回2018。wbg2-1拿到赛点！英雄联盟s13
1690465241# #左手的狐狸还是底牌，JDG技高一筹！大小王会师胜决没有悬念！恭喜jdggoodgoodgood2023lpl夏季赛
1692525748# #恭喜
