1704440926# #虽然很好看，但是感觉初设这个弟太年轻了，服设倒是挺不错的（虽然感觉和现在也区别不大），就是脸真的太嫩了（）。你要说我吃不吃这口，那我是不吃的，除非你说是当年刚入伍的弟（不是）
1697114845# #才发现，这个盾反哥的配队，不就是罗刹克拉拉托帕希儿吗哆啦A梦害怕
1694146250# #听说托帕1+1完整，好吧……看起来只能课了，镜流跳过不知道能剩多少给我单身狗符将军希望能早点出……
1690637650# #去不去sjs无所谓，但我看到他这样真的很破防微笑你看着这张图告诉我这是他指挥的？真的死了你们
1697218640# #真的很喜欢刷火刀哥素材本，用饮月鸭鸭停云，一个强化普攻下去，20秒就结束战斗了，没打过那么爽的素材本允悲
1704042851# #虽然小号这边没啥人，但是一应还是新年快乐兔子
1693549330# #在想要不要pass掉镜流不抽，给托帕屯着，因为符玄肯定抽了，而且不能保证不歪（也不确定要不要抽专武，但因为真的很喜欢托帕账账，所以还是想0+1）然后目前为止卡池就卡没抽，c位好像溢出了……量子虚数风雷都有了允悲
1703695584# #……看了医生和砂的对话剧透，只能更加感受医生真的是很好一人……唉，，唉（走来走去）
1698518832# #虽然很火大，但是想了想算了，反正成定局了，爱咋滴咋滴吧，策划能把数值定成这样我估计肯定是预料到流水怎么样的，继续捧你们国风爱吧，无所谓了老师好突然看开了也对氪金没啥念头了，玩还是会玩，就是以后不氪了，对你我都好亲亲
1704042808# #哎呦，新年快乐，穹星哈特软软汪洋海蓝比心
1704514537# #真的很感叹，某人送走主播夏决冠军和fmvp的时候，粉丝虽然疯但也只不过全体换黑头像嘴硬说就e就e，现在不过是打个德杯，能疯到开除自家大粉粉籍还串成队友杂演戏笑cry看起来被线杀七次确实挺破防的哈笑cry
1693468573# #原来活动是被骂得提前全开了，笑死我了
1703673599# #卧槽暴露的匹诺康尼新boss太几把帅了………………机制和动画都好帅啊……很喜欢……萨姆那个骑士踢也很帅，所以能不能单给我这个…………
1690907025# #兄弟，我爱你，快告诉我你cv是谁
1691133826# #能不能别把青年画成猛男我求你……
1695788157# #草，立花你真的来了哆啦A梦害怕
1695443299# #看有评论说，没感觉朗道弟有体现sis控的表现，我，那什么，有没有可能，他是姐的那个sis不是妹的那个sis……官方钦定他姐控可没钦定他妹控（……）当然不是说他不喜欢，有没有可能有些东西就是不一样的……？
1696100093# #日语版白珩居然叫白珠吗，为什么？？？
1698517577# #大哥真会说话允悲赞
1691665771# #听说遇到的角色是随机的，咱也不知道是不是，反正遇上了，截一下（朗道弟来了两次好像说的话都不一样，但是忘了截）
1694312866# #卧槽一次没歪卧槽，吓得我从座位上摔下来，超过百爆了，我去
1701366758# #唉，那么一看我看人眼光还是蛮准的，，，
1693214075# #才发现托帕角色名其实是托帕＆账账，好诶舔屏理解你们破防不想抽猪，但是我爽了，我要抽，对不起舔屏
1693373444# #搞完了，配速太难搞了，但伤害确实挺高的…………我得想个法子把驭空速度拉到饮月之前.jpg（你能不能先练练辅助）
1692204962# #啊？你崩铁新男人怎么是这种哆啦A梦害怕
1702665448# #星期日日配原来是大塚刚央，我说感觉听过。。。主要对近年新人完全不熟唉允悲真的是太久不搞声优了
1703682069# #打得汗流浃背的……
1695357435# #捡一口穹星宝宝一起kfc亲亲
1699020675# #天啊……我的穹星同框…………
1703703797# #感觉快变成真理医生单推人……
1698811847# #我tm笑得……你确实是有一丝故意在身上的
1702641897# #对不起我前面说话太大声了泪泪泪泪
1697232126# #虽然攒了80连，但是因为上次抽符玄80才出的案例导致我现在还是感觉托帕0+1不稳……
1703641211# #现在世道，在游戏里磕可选男女主角的cp简直就像逆天而行，没想到还有人喜欢，我哭死
1694170544# #存护之志代言人努力
1698315685# #很符合我对世界赛太湖的刻板印象！
1698382825# #托帕原来叫叶琳娜
1693461377# #金人巷完全是小游戏合集，小游戏爱好者狂喜
1691910096# #震惊，我搞竞磕同一个cp的女同同担杂看崩铁磕到了崩铁我cp的朗道骨（草）
1703534098# #虽然卖这对我是没意见啦，就是感觉让某个隔壁来铁这边蹭饭的美帝姐又蹭到了的感觉很不爽
1700218231# #但是我托帕才0+1，需要1+1啊啊啊泪泪泪托帕卡池我需要你…………主要是太非了，角色小保底，光锥大保底才出的衰衰衰
1691804098# #看起来确实是每天文案都不一样，今天都是古代遗器主题，浅截一下
1698380620# #行，1.5一个都不抽了🏳️🏳️
1691722566# #谁借了我刃哥那么多次，但是谢谢（
1702208081# #玩得好极限.jpg
1697362261# #银枝最好笑的地方在：。实机演示展示面板的时候机主还特地拉大了面部展示，弹幕也纷纷“他好美”
1694926663# #不是，朗道弟你真叫你妹妹玲宝啊哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕真的好吓人…………
1699243871# #朗道的选择高清大图get谢谢你老师好
1691900444# #萨姆日配是笠间淳，他最近饼好多，羡慕……哦哦我推已经配崩铁了啊，那没事了
1695102713# #？真要喊啊疑问有没有考虑过社恐的感受（）
1702463236# #自从有了托帕克拉拉，第一次打虫子宇宙难度5，宛如飞一般的感觉，自动挂机过了，很好的欢愉
1696932791# #看了银枝实机演示我要死了，我根本无法想象这样的男人会发出立花的声音，而且还是用枪的🚬🚬🚬我这辈子就死在立花配的用枪的男人身上了单身狗原田酱……
1691001973# #我对dh看法：。。说真的，要不是傻逼编剧闹出这逼事，你们真的有人在乎现在的他是怎么想的吗？全是爱磕微笑。我真的很烦这种意识已经是另一个人了，但是没有人关心现在的他，全去在乎前世的他的戏码。。现在的他又做错了什么，错就错在现在的他就应该老老实实当前世的替身傀儡吗微笑
1693905914# #我tm吃吃吃吃
1700627018# #年年说主播菜年年说主播没人要，年年主播打野位香馍馍都得先看主播签没签允悲赞还是钱最实诚
