1692672885# #人生最幸福的时刻之一就是看书的过程里顿悟某种规律，过往的经历会变得脉络清晰，眼前的困惑会变得有迹可循，心里清楚，解决困惑，只会是时间问题。然后一瞬变得豁然开朗，世界都明亮了。
1701069925# #刘诗诗一念关山定妆花絮这姐就是古装的神，11月28日（明天）晚上19:00要去爱奇艺看她的新剧一念关山开学季。大美人演技好又美的不要不要的，渴她的古装好久了，开心。
1695295771# #卧槽，美腿！
1695268029# #狐妖小红娘竹业篇首发阵容我心目中的东方淮竹，太期待竹业啦啊啊啊啊啊啊啊啊。
1701230065# #刘诗诗散粉超话。任如意有关的一些精品分析博文（一）:。1.
1699251418# #刘诗诗散粉超话。欧米茄活动，优雅知性美。
1697086329# #建议查查保送资格，别让垃圾抹黑真正优秀的保送生
1702970804# #刘诗诗既然给出了满分的答卷，把任如意立起来了，粉丝需要做的就是趁着热闹把它扩散出去，夸刘诗诗的表演和任如意人设高光。剧成绩挺好的情况下，任何卖惨行为都是在挤压刘诗诗和任如意的空间，削减她们的红利。
1689594911# #笑cry
1697701436# #不要抱怨，凡事从利益的角度去衡量……思考
1703131311# #一姐少有的纯欲风格，内页质量好高，每一张都喜欢。
1704516011# #成昆线还有专门的移动集市，好多彝族老乡在火车上就可以卖鸡卖羊。
1700717462# #姐姐没驯服刘海但是驯服了我刘诗诗不愧是古装的神，看到这张动图，就想看她的剧了。一念关山搞快点，等不及了。
1687859278# #真趣致。
1695306376# #这套造型大气，越看越好。
1701064733# #爆剧必然是全员上桌（每个演员都能从剧里获得流量热度，拿到可能成为经典的角色），主角吃最大红利（收视网播实绩+流量热度+可能成为经典的大火角色）。。。想要剧爆，又想独吞红利（主角思想）或者想要火到可能成为长尾经典的角色抬身价，又想掀剧的桌、断剧的长尾，让主角或者其他配角啥也得不到（配角
1691414366# #只听过金箍棒
1698319100# #思考把欲望当作了志向。
1702539399# #刘诗诗超话刘诗诗散粉超话理一理一念关山里刘诗诗演绎的任辛和任如意的成长线:。。cp粉常说任如意被系统控制了，不再是任辛，cp粉这个说法其本质是在为磕cp贬低否认任如意/任辛这个人物的独立自主性，我是不认同的。不过这个说法的另一面也没有说错，任如意和任辛确实不同了。任辛血雨腥风的过往
1695546177# #刘诗诗回应不上常驻综艺好通透的美女。综艺不上就不上了，多拍戏就行，不要浪费那么好的演技和美貌不拍戏，多拍几部作品，观众也高兴啊。
1700888761# #刘诗诗一念关山孤狼任如意/任辛邀请大家来看剧啦全力以赴全力以赴全力以赴
1699355342# #刘诗诗散粉超话。希望与勇气——是我想在剧版竹业看到的主题。“年少轻狂总以为天下事无可不为，岁月蹉跎终感到天下人力有尽头。”然而就算力有尽头，也要有坚持下去的勇气，哪怕拼尽全力，也要为后来者留下希望的火种。看一姐采访，竹业剧版确实有保留动漫核心，深挖主题的打算。。。其实看动漫版竹
1695541305# #刘诗诗散粉超话。cosmo十月刊的采访写的真好:。。1.一姐选角色倾向有力量、有忠于自我的坚定骨架的角色。哪怕角色不完美，展示出的欲望在当时舆论环境里会被骂，但只要对人性的复杂性有还原，她都觉得比人设完美重要（p1-2，不得不说她是一个真心爱角色的演员。）。。一姐热爱角色，对角色的认知也极深
1702057323# #加油，宝子，好好拍戏，演技很好，多拍就行。
1702096795# #爱奇艺转发刘诗诗微博。任如意就是大树一样的大女主，刘诗诗把她演活了，观众多少年没见过这样的清醒独立的女性形象，都对她爱的不行。剧刚开播就爆走，就是观众爱刘诗诗和任如意的明证。。柠萌贪得无厌，为了捧一个丑男，各种搞事毁剧，这样的影视公司就该倒闭。
1692075112# #也就狄青算得上名将
1697964595# #十首歌里，古装剧主题曲全听过，非古装的剧只听过上海滩和霍元甲的主题曲。我果然只爱古装笑cry
1700819441# #刘诗诗散粉超话。剧播期间，建议狮子们都平常心，勿遇事就焦虑忧忡，将问题扩大化，一件小事就惶惶不可终日，以为天要塌了。多看正面评价，疏解负面情绪，勿四处抱怨，聚集群体怨气，失去对形势的判断力，一起走向极端化。。。要多思考、交流，研究话术、搞二创、安利，把精力花在夸一姐（演技、美貌
1694863176# #人民日报批明星偷逃税建议把偷逃税的明星以及利用明星做白手套洗米的影视投资公司一窝端了。
1703507701# #一念关山科目三。笑cry一念关山这剧挺火爆、挺好看的，刘诗诗演技也超好，她演的任如意可以说是我今年最爱的女性角色了。看了好多盘活，没想到还可以这样搞。
1695546594# #她很尊重角色。
1704527825# #哈哈哈哈哈哈哈哈哈哈李思雨帅的嘞，精神状态领先好多年！不愧是一姐选的角色，就是思想超前！
1696150224# #笑cry
1701426976# #刘诗诗牛我已经说累了刘诗诗任如意刘诗诗一念关山
1701087612# #任如意帅疯了！！！刘诗诗，内娱古装有你就是我们的福气。
1700897163# #有趣的话题点②
1702902345# #第36集不yue，能看。初月、李同光是亮点。一直觉得初月性格和任如意有点像，不过是弱版，这集她不错。
1695729008# #虾头/腹部含有丰富的酪氨酸酶，受热后发生酶促反应会形成醌类物质，再转化为优黑素、褐黑素等物质，大虾就变成黑色了🤷🏻‍♀️
1692325067# #王一栩抑郁症看行运，这两年确实容易抑郁，以后压力大，还有可能会加重。上网尽量少看网友评论吧，会好一些。私下里多向长辈求教学习，寻求帮助，他们对你的助力比网友大的多。然后多学习，少思虑，把剧做好，后续只要剧做好，观众认可你，哪怕压力大，情况也会好很多。
1693219034# #我觉得是。没有什么人是救世主，包括你的爸妈，就不是不行，是没必要，对别人利大于弊对你弊大于利。更重要的是我们应该知道，不揭开伤疤，不暴露自己的软肋其实也是可以被爱的。
1693481197# #时代不一样了。金土运那代人付出就有回报，努力就能跨越阶层，所以吃苦耐劳、积极向上是他们的价值取向，他们的抗压能力锻造自希望。离火运这代人没有出路，被迫躺平，不想躺的不可能不焦虑，躺多了的会走向精神空虚，结果就是负能量爆棚，精神疾病高发，“人不为己天诛地灭”的功利主义盛行。
1695886432# #缺的是吗？缺的是红包。二哈
1694443787# #卤肉卷真好吃，忍不住又点了一个。
1692350631# #码
1702739504# #任如意的成长
1699010549# #刘诗诗散粉超话在等红毯，一姐啥时候出来，想看现场了。es高定裙现场肯定超好看。送花花
1696504567# #生活不错笑cry
1702560968# #刘诗诗散粉超话。26集之前的任如意，一直把昭节皇后的话当真理，当必须要完成的任务去执行。一旦对前路陷入迷茫，潜意识里就会向皇后寻求帮助。。。今晚的27、28集，任如意审视过往，审视皇后，审视自己，明白过来，每个人都有好几面，包括皇后也是，她是为了任辛好，但她把希望寄托于听话的孩子身上
1701008222# #哈哈哈哈哈哈哈哈哈哈哈哈哈
1692677596# #p7哈哈哈哈哈哈哈哈哈哈
1702893238# #一念关山里，编剧给杨盈安排的结局不错，杨盈留在安国的选择可以说头脑很清醒。嫁给老皇帝做皇后，老皇帝嗝屁，她就可以争取当执政太后。嫁给二皇子做太子妃，将来当皇后，地位也是高于公主的。嫁给执政者，她才有可能摸到权力的边。。。而回到梧国，她哪怕得了实封，顶天也就是个有钱的公主，在丹阳王、
1703998455# #送首页复读～经历过一念关山任如意带来的思考，大家对这些应该能看的更清晰了。
1700798595# #加油。
