1691754056# #宝宝今天好帅啊啊啊啊宝宝新衣服救命！！！！！啊！！！！
1697813224# #好可爱的恐龙啊啊啊啊啊啊啊啊啊啊啊
1692162987# #813的崇拜！！！抱一抱
1703324139# #一切顺顺利利
1701276026# #带我走叭带我逃离悲伤
1694346610# #崩溃的点又多了一个泪
1702351360# #啊啊啊
1699102975# #啊泪泪泪
1699508296# #？
1699102914# #我在一直都在悲伤泪
1697902808# #清远见！！
1699673668# #转发微博
1703515247# #别说了。。。
1698216840# #可可爱爱
1689347274# #小风改词啊啊啊啊啊啊啊啊啊啊啊泪
1699103374# #啊啊啊啊啊啊
1702709280# #一起来2023微博音乐大赏进行音乐作品的回顾与盘点！我推荐了《凤毛麟角》，你也一起加入吧～年度歌曲推荐~
1687450456# #我哭死苦涩苦涩泪
1701965801# #“这是一封等待你展开的情书”💌
1691766047# #转发微博
1702696431# #小王子啊抱一抱
1699799516# #卡点比心抱一抱
1701619000# #笑死我了哈哈哈哈哈
1703069895# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1701607388# #啊啊啊啊背头薛好帅啊啊啊
1702047117# #薛🐷
1701758987# #薛之谦是不用休息的吗，我天
1699444365# #看看我老师好
1691896082# #转发微博
1694875257# #啊！
1692458950# #转发微博
1696245173# #都到新加坡了耶
1691573151# #转发微博
1703559614# #感冒飞走！！宝宝健健康康才是最重要！！
1693662423# #笑我我了哈哈哈哈哈哈哈哈什么鬼啊
1698118797# #期待薛副局长！！憧憬
1695990909# #转发微博
1699352194# #抵制黄牛！！！
1702791651# #春暖花开，一定在相见
1691147586# #转发微博
1699703260# #老公！！！
1688481483# #薛之谦天外来物巡回演唱会
1702785690# #懵了哈哈哈哈哈好可爱
1702826601# #宝宝辛苦啦！回去一定要洗个热水澡，别感冒了！！！照顾好自己，不要觉得亏欠明年春暖花开，我们再相见😭
1694353249# #让他好好休息，照顾好自己，不需要这么拼！！！
1689346297# #啊啊啊啊啊啊啊啊啊啊啊
1691848369# #见字如面，是精心准备的礼物泪
1699787808# #我不在悲伤
1689428423# #薛之谦的飞船的红包哇！好运来袭！我抽中了的现金红包，你也快来试试手气吧，比比谁抢得多！
1701493722# #建议没达到薛之谦世巡规模的歌手粉丝少来碰瓷举手举手也建议某歌手粉丝不要回忆过去畅想未来请认清当下薛之谦就是内地断层top1更建议歌手之间线上比收听线下比演唱会别天天乱比一些乱七八糟的东西
1688566847# #薛之谦717生日快乐凑一下热闹
1693201499# #笑晕了
1702385224# #终于……下班了……
1691759006# #转发微博
1693067337# #特别特别棒的礼物！！特别好
1693657625# #保持愤怒！
1691763404# #泪
1699415499# #转发微博
1697872957# #我必有！
1701514512# #啊？！这联动是不是只有80后懂？是学生时代收集了无数神颜照片的绝世女神姐姐啊！！
1691852576# #转发微博
1698988591# #我来！！！
1691925162# #超帅的捏抱一抱
1701519178# #老公！！！
1702382544# #臭宝好帅啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1694577144# #总结一下直接损失只有门票机酒想要赔偿需要起诉维权法律无要求必须赔。再多说一句就是他做到很多人不敢说的在舞台上还互动了一个小时是他的心意。放心从哪个层面来说也削减不了薛之谦的诚意你好老师
1689347771# #转发微博
1692371997# #悲伤见字如面
1702232423# #我最爱的小风
1702799274# #宝宝今晚你要多穿点泪
1702817884# #转发微博
1690897987# #转发微博
1704095982# #转发微博
1702791559# #我家宝宝啊啊啊啊啊啊
1692092976# #好的宝宝什么时候你也唱一下
1696344688# #想要票夹！！老师好
1703069927# #我推荐《崇拜》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1692458322# #真诚的小🐷他什么都知道苦涩
1703528108# #转发微博
1687363306# #转发微博
1692418066# #小北京进串烧了悲伤
1691934606# #转发微博
1692710255# #薛之谦天外来物巡回演唱会老师好老师好
1700491226# #“玩笑”一开图一p几十场国内演了的一遍遍告诉你们的全都白干
1702966696# #转发微博
1701609953# #我服了……
1695699668# #转发微博
1700433905# #转发微博
1692012905# #转发微博
1691544583# #转发微博
