1701743579# #啊啊啊啊啊啊期待我们狐妖竹业！！！期待刘诗诗东方淮竹刘诗诗狐妖小红娘竹业篇刘诗诗任如意如意淮竹红红火火
1696659744# #我真的哈哈哈哈
1698219838# #大姐你蛮好笑的，看来你也知道被人嘲讽不舒服了，已所不欲强加于人是吧哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1688272503# #好清纯
1694786032# #喊话李佳琦的医生称希望提高医生收入他们到底懂不懂什么叫顶级的医生……这种人对于国家来说是重要的人才，在资本主义国家薪资得这好多倍了，顶尖的医生、人才都不重视还要重视什么……我们这些底层的普通打工人，更不用想了
1687755830# #谁能想到我上班的目的就是为了不上班……人活着有什么意义
1700722986# #每次看到yz营销美貌或者活动的照片……都有种造型师真的尽力了的感觉……
1695277202# #……就这么说吧，那就跟同类型的小言比吧……同样是太监文，《嫁给一个死太监》全文女主市井小人物小丫鬟，她的人设没有什么大的理想没有什么拯救人物……但是那本小说让人记住的勇敢的敢于面对自己内心直面恐惧直面男主的脆弱直面自己内心的脆弱直面自己最真实的爱，那本真的比这本的冠冕堂皇更打动人
1698209354# #刘诗诗黑粉：就一古偶刘诗诗这么认真耗费这么多时间精力干嘛真是傻子随便拍拍得了。。从入行到现在这么多年，刘诗诗对角色无论是主角还是配角，姐跟你的区别就是永远认真对待每个角色每份工作，她永远认真对待她的角色，从进组前提前练习跳舞、练习骑马、坚持。运动锻炼、提前训练舞剑提前进组做准备，作
1700888299# #偷外卖的死全家，你妈的还知道专门挑贵的偷
1690090047# #抖音能不能出个贫民版，破大防了
1690649480# #我恨武汉的暴雨……这个点下班骑车淋雨回家的路上我脑子里想得居然是……幸亏我今天没洗头不然白洗了
1701265757# #美得很安心
1700914743# #我真的……好想……看到……竹业的杀青特辑……之前的路透来看感觉姐的状态好好，感觉正片加上飘逸的打戏会超美跪了
1695439098# #我终于快要重温完海贼王了……这么多年我还是很喜欢热血漫冒险故事
1701191481# #有些人的脸乍一看丑，你再仔细一看，是对你的眼睛的折磨裂开裂开裂开
1701489248# #哭戏就是刘诗诗的统治区，她哪部剧哭戏不够打动人了，人设不同但是都贴合人物设定打动人……
1689767147# #好累好累好累好累……到底谁在幸福，到底谁在当富二代，好累，累的想死
1699717752# #我爱听的都是仙品，理解不了就去死怒
1688387405# #全职猎人除了雷欧力感觉大家精神都不正常
1700796199# #刘诗诗最有cp感的男主剧还没播，柠萌营销CP感先上来了，大姐你是不是有病，真的爱炒CP抬咖，滚啊！！！。！！！。望周知，磕CP是观众爱磕，不是资本喂屎！！！。。刘诗诗CP感强的你去b站看一圈哪个不是美男帅哥，资本炒cp抬咖的滚！！！（PS：我曾经磕霍诗、卫月、歌诗）
1698683744# #姐姐好美好温柔，下班被治愈了开学季
1701006805# #刘诗诗任如意像孤狼你的孤狼如意来了，一念关山的一是一姐的一打call打call打call刘诗诗一念关山刘诗诗角色号删博
1701163519# #一念关山今日开播别人的剧开播，全网首播……刘诗诗的剧开播，全球首播，姐的多部剧多次走出国门受海外市场欢迎都是很平常的事了……该说不说，不愧是你刘诗诗，古装剧真的就是姐的统治区，古装的神跪了跪了跪了刘诗诗任如意刘诗诗一念关山
1692413718# #新鲜的姐姐，开心就好打call
1688378127# #狗江的救赎文：虽然男主控制狂，偏执狂，色情狂，杀人放火无恶不作动不动杀人绝对的反社会人格……但是我要救赎他让他爱这个世界……。。你信不信我把你🐴鲨了微笑
1698800092# #看到博人传有种当奶奶的感觉……好崩溃，我接受不了鸣人有孩子了跪了跪了跪了
1695953358# #刘诗诗期待淮竹的物料微笑，只磕辛满意竹🎋
1695356981# #笑死我了，听到没，让你单独给绸男调个美颜呢@一念关山的关微
1690979371# #从我首页给我推《心有不甘》的时候我就该意识到我最近看的文开始不对劲的微笑微笑微笑
1695616242# #我真的看不了一点起点龙傲天的小说，浑身难受想吐……
1690418822# #心情复杂微笑
1702214271# #一念关山辟谣刘诗诗打戏一剪没说话啊，不是辟谣挺快的吗一念关山加戏
1694506573# #打call打call打call
1694185176# #刘诗诗沈月狐妖竹业篇异域造型漂亮姐姐漂亮妹妹，好喜欢竹叶篇，都是美女帅哥氛围好好开拍这么久都是很融洽，很爱一些正儿八经的不🍵的真善良的演员合作泪泪泪
1697173746# #什么时候才会有钱退休……泪
1701539606# #刘诗诗刘宇宁吻戏爱捧男宝这么爱丑男的祝你家的漂亮小花以后和他多合作几部太开心太开心太开心
1693306336# #是谁加班没有工资，是我，妈的……想辞职没敢……气死了气死了为什么我不是富二代
1697964290# #管不了他们我还管不了女人动物了微笑
1688546616# #小学生都比你前任大方，是谁流泪了
1688224161# #蚁王和小麦下的棋是啥玩意儿，感觉很像象棋，这玩意儿用得着学那么久吗，我小学跟别人下象棋就觉得很无聊没意思……围棋比象棋难多了吧……
1696245495# #……到底谁定义的“男女发生性关系谁变脏”这种可笑又幼稚的说法……蛮好笑的……性到底哪里脏了……而且谁定义的“泥”是脏的“水”是干净的，没感觉到哪里让人震惊……
1704259391# #现在的古装剧，空有其表不了见其魂，粉丝过分在意服化道，制作方捧人加戏改戏，越看越没意思
1691590651# #我真的好无语，我买了同一个品牌的防晒，男款和女款……女款的没有男款兜多，也没有男款的帽檐大，价格却比男款贵微笑
1700801017# #一念关山……稍微磕一点的线……就是师徒线……因为我看小说就好这口……这张图我完美带入了嘻嘻
1695272362# #嘴角还在笑着，眼神已经变了，好期待姐的新角色打call
1695095061# #再看不到任如意我要发疯了
1704194441# #恋爱了，鞠姐好白好漂亮
1689134877# #一念关山什么时候播，等不了了怒
1695372458# #美的我死去活来，好幸福打call
1698852087# #我以前觉得把一个人的期待和对未来的美好的想象托付在另一个人身上，也不算是托付……怎么说呢……对一个人过多的期待所有的未来规划都有他（她）的存在……我以前真的觉得这种念头非常愚蠢……直到我在抖音刷到一些生死离别的场景我想象了一下没有我最好的朋友的未来，我所有想要努力过好的生活全部都
1700983532# #期待如意姐刘诗诗一念关山
1703690039# #主角不可以是反派吗，表面清冷正直高岭之花钩钓系美人高不可攀白月光。。背地里疯批千事业黑到底永不洗白玩弄人心大反派多拍古装多拍打戏，苦了一姐也不能。苦了我，接一部仙侠师尊吧姐跪了跪了跪了
1694851544# #以后禁止郭敬明拍电视剧，观众不是来看造型的，稀烂玩意儿
1698935439# #不是不愿意结婚，只是喜欢的老公全在二次元；不是不愿意生孩子，要是小孩是鸣人小杰奇犽我可以考虑一下亲亲亲亲亲亲
