1691820337# #0# #2# #0.1303515012189403
1703199590# #0# #0# #0.02354042996204214
1689948568# #0# #0# #0.6864272042699083
1700392647# #0# #1# #0.6864272042699083
1703137636# #0# #0# #0.09865941851835451
1692246255# #0# #0# #0.6864272042699083
1691483793# #0# #2# #0.23147163328508355
1692178403# #0# #0# #0.6864272042699083
1701695106# #0# #2# #0.007562920352485616
1688861686# #0# #0# #0.6864272042699083
1695388864# #0# #3# #0.016726003746560573
1689335823# #0# #2# #0.5393631877676097
1691029190# #0# #3# #0.8842774898821407
1701956594# #0# #3# #0.6864272042699083
1691764797# #0# #2# #0.04653155805049434
1696153411# #0# #0# #0.6864272042699083
1690345749# #0# #0# #0.01570606284132412
1694598063# #0# #2# #0.02601046909934824
1693797176# #0# #0# #0.6864272042699083
1689596767# #0# #0# #0.6864272042699083
1703813907# #0# #0# #0.02470621380072177
1692245867# #0# #7# #0.32470948476240685
1701168065# #0# #4# #0.6864272042699083
1696390329# #0# #2# #0.6864272042699083
1695687369# #0# #1# #0.6864272042699083
1694420566# #0# #2# #0.11071204296426009
1694736704# #0# #2# #0.09582102494899654
1691989277# #0# #2# #0.021184358359341075
1695566564# #0# #7# #0.006714119437477831
1696756256# #0# #0# #0.6864272042699083
1689470777# #0# #0# #0.6864272042699083
1698901939# #0# #1# #0.21346946003934397
1698450097# #0# #0# #0.6864272042699083
1703896050# #0# #0# #0.1800376378092008
1691567914# #0# #2# #0.052516606503017906
1700215470# #0# #3# #0.6864272042699083
1691821456# #0# #0# #0.6864272042699083
1696672407# #0# #5# #0.042623259331917344
1688169201# #0# #1# #0.004815316746850029
1701314587# #0# #6# #0.010230149523403759
1690589144# #0# #4# #0.48608319156536645
